Plaintext,Modified_Plaintext,Key,Speck_CTR_Avalanche,Speck_CBC_Avalanche,Speck_PCBC_Avalanche,Speck_CFB_Avalanche,Speck_OFB_Avalanche,Simon_CTR_Avalanche,Simon_CBC_Avalanche,Simon_PCBC_Avalanche,Simon_CFB_Avalanche,Simon_OFB_Avalanche
scheme spot photo card baby mountain device kick cradle pact join borrow,scheme spot photo card baby mountain device kick cradle pact join horn,332742712495388380011696540258484952622,0.5703125,0.5703125,0.484375,0.4609375,0.5078125,0.4609375,0.53125,0.5390625,0.5078125,0.4609375
horn tenant knee talent sponsor spell gate clip pulse soap slush warm silver nephew swap uncle crack brave,horn tenant knee talent sponsor spell gate clip pulse soap slush warm silver nephew swap uncle crack panda,137884113917223699459122387393665276381,0.4453125,0.515625,0.5078125,0.5826771653543307,0.4921875,0.546875,0.5196850393700787,0.49606299212598426,0.4140625,0.46875
panda eyebrow bullet gorilla call smoke muffin taste mesh discover soft ostrich alcohol speed nation flash devote level hobby quick inner drive ghost inside,panda eyebrow bullet gorilla call smoke muffin taste mesh discover soft ostrich alcohol speed nation flash devote level hobby quick inner drive ghost cat,134420319775526177889959353212866797283,0.47619047619047616,0.48031496062992124,0.48031496062992124,0.515625,0.515625,0.5,0.53125,0.53125,0.5390625,0.484375
cat swing flag economy stadium alone churn speed unique patch report train,cat swing flag economy stadium alone churn speed unique patch report light,59438683747868002082803670252949788846,0.5234375,0.515625,0.5118110236220472,0.5118110236220472,0.453125,0.5275590551181102,0.515625,0.49206349206349204,0.5476190476190477,0.5234375
light rule cinnamon wrap drastic word pride squirrel upgrade then income fatal apart sustain crack supply proud access,light rule cinnamon wrap drastic word pride squirrel upgrade then income fatal apart sustain crack supply proud all,234430669967704050901443040622738469355,0.40625,0.5354330708661418,0.5,0.4921875,0.5196850393700787,0.5118110236220472,0.5078125,0.5275590551181102,0.5748031496062992,0.4566929133858268
all hour make first leader extend hole alien behind guard gospel lava path output census museum junior mass reopen famous sing advance salt reform,all hour make first leader extend hole alien behind guard gospel lava path output census museum junior mass reopen famous sing advance salt vessel,124129464804749573464223509774013266395,0.5078125,0.4609375,0.5317460317460317,0.453125,0.53125,0.5,0.4140625,0.5234375,0.53125,0.5390625
vessel ladder alter error federal sibling chat ability sun glass valve picture,vessel ladder alter error federal sibling chat ability sun glass valve scissors,20335768323557537017885013518130294348,0.4609375,0.5354330708661418,0.4921875,0.5,0.4296875,0.53125,0.515625,0.4645669291338583,0.546875,0.546875
scissors invite lock maple supreme raw rapid void congress muscle digital elegant little brisk hair mango congress clump,scissors invite lock maple supreme raw rapid void congress muscle digital elegant little brisk hair mango congress void,296252441303611809883078707046185506451,0.5,0.4453125,0.484375,0.5625,0.453125,0.5,0.5,0.48031496062992124,0.546875,0.4375
void come effort suffer camp survey warrior heavy shoot primary clutch crush open amazing screen patrol group space point ten exist slush involve unfold,void come effort suffer camp survey warrior heavy shoot primary clutch crush open amazing screen patrol group space point ten exist slush involve abdikace,81840721913966653191647164262457016337,0.515625,0.5118110236220472,0.5078125,0.5390625,0.484375,0.4444444444444444,0.48031496062992124,0.5625,0.49206349206349204,0.453125
abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace agrese,abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abdikace abaisser,59803690884927825706367450623548096849,0.46875,0.4453125,0.4921875,0.40625,0.453125,0.484375,0.4765625,0.47244094488188976,0.5,0.49206349206349204
abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abeille,abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaisser abaco,186280528638468320148905555970513812852,0.515625,0.552,0.44881889763779526,0.53125,0.5625,0.5625,0.48031496062992124,0.4881889763779528,0.515625,0.46875
abaco abaco abaco abaco abaco abaco abaco abaco abaco abaco abaco abete,abaco abaco abaco abaco abaco abaco abaco abaco abaco abaco abaco abacate,334123582882516360437527999703841570604,0.5,0.4881889763779528,0.5,0.3888888888888889,0.453125,0.453125,0.4921875,0.4921875,0.5,0.46875
あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あおぞら,あおぞら　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん　あいこくしん,330751199764830708580478614214198936298,0.4609375,0.484375,0.5039370078740157,0.5476190476190477,0.59375,0.4609375,0.5,0.5390625,0.4881889763779528,0.5433070866141733
가격 가격 가격 가격 가격 가격 가격 가격 가격 가격 가격 가능,가격 가격 가격 가격 가격 가격 가격 가격 가격 가격 가격 가능 くしん,15004116979401000322355883454558491716,0.4409448818897638,0.5590551181102362,0.4409448818897638,0.484375,0.44881889763779526,0.5546875,0.4453125,0.5433070866141733,0.5546875,0.6171875
abacate abacate abacate abacate abacate abacate abacate abacate abacate abacate abacate abater,abacate abacate abacate abacate abacate abacate abacate abacate abacate abacate abacate abaisser,233039251500976986504451073445008764298,0.5433070866141733,0.515625,0.578125,0.53125,0.5039370078740157,0.4921875,0.5,0.5390625,0.5546875,0.5546875
